"name","url","status"
"networkx","https://github.com/networkx/networkx.git","cloned"
"osmnx","https://github.com/gboeing/osmnx.git","cloned"
"geopandas","https://github.com/geopandas/geopandas.git","cloned"
"shapely","https://github.com/shapely/shapely.git","cloned"
"pyrosm","https://github.com/pyrosm/pyrosm.git","cloned"
"h3-py","https://github.com/uber/h3-py.git","cloned"
"snail","https://github.com/nismod/snail.git","cloned"
"open-gira","https://github.com/nismod/open-gira.git","cloned"
"gtfs_kit","https://github.com/araichev/gtfs_kit.git","cloned"
"gtfs-validator","https://github.com/MobilityData/gtfs-validator.git","cloned"
"SALib","https://github.com/SALib/SALib.git","cloned"
"frictionless-py","https://github.com/frictionlessdata/frictionless-py.git","cloned"
"GOSTnets","https://github.com/worldbank/GOSTnets.git","cloned"
"pysal-access","https://github.com/pysal/access.git","cloned"
"r5py","https://github.com/r5py/r5py.git","cloned"
"routingpy","https://github.com/mthh/routingpy.git","cloned"
"or-tools","https://github.com/google/or-tools.git","cloned"
"PyVRP","https://github.com/PyVRP/PyVRP.git","cloned"
"UXsim","https://github.com/toruseo/UXsim.git","cloned"
"transcrit","https://github.com/bramkaarga/transcrit.git","cloned"
"Path4GMNS","https://github.com/jdlph/Path4GMNS.git","cloned"
"aequilibrae","https://github.com/AequilibraE/aequilibrae.git","cloned"
"osrm-backend","https://github.com/Project-OSRM/osrm-backend.git","cloned"
"valhalla","https://github.com/valhalla/valhalla.git","cloned"
