sigma,policy,network_variant,failure_mode,capacity_reduction_factor,mean,std,count,ci_lower,ci_upper,finite_count,nonfinite_count
0.3,GRACE_W15_T0.8,baseline,blocked,,-96080.3063758248,365535.327333872,30,-226885.4433484118,34724.830596762185,30,0
0.3,GRACE_W15_T0.9,baseline,blocked,,-96080.3063758248,365535.327333872,30,-226885.4433484118,34724.830596762185,30,0
0.3,GRACE_W30_T0.8,baseline,blocked,,-96080.3063758248,365535.327333872,30,-226885.4433484118,34724.830596762185,30,0
0.3,GRACE_W30_T0.9,baseline,blocked,,-96080.3063758248,365535.327333872,30,-226885.4433484118,34724.830596762185,30,0
0.3,GRACE_W60_T0.8,baseline,blocked,,-96080.3063758248,365535.327333872,30,-226885.4433484118,34724.830596762185,30,0
0.3,GRACE_W60_T0.9,baseline,blocked,,-96080.3063758248,365535.327333872,30,-226885.4433484118,34724.830596762185,30,0
0.3,STRICT,baseline,blocked,,-96079.97304249146,365534.0587932137,30,-226884.65607363379,34724.709988650866,30,0
0.5,GRACE_W15_T0.8,baseline,blocked,,-96080.3063758248,365535.327333872,30,-226885.4433484118,34724.830596762185,30,0
0.5,GRACE_W15_T0.9,baseline,blocked,,-96080.3063758248,365535.327333872,30,-226885.4433484118,34724.830596762185,30,0
0.5,GRACE_W30_T0.8,baseline,blocked,,-96080.3063758248,365535.327333872,30,-226885.4433484118,34724.830596762185,30,0
0.5,GRACE_W30_T0.9,baseline,blocked,,-96080.3063758248,365535.327333872,30,-226885.4433484118,34724.830596762185,30,0
0.5,GRACE_W60_T0.8,baseline,blocked,,-96080.3063758248,365535.327333872,30,-226885.4433484118,34724.830596762185,30,0
0.5,GRACE_W60_T0.9,baseline,blocked,,-96080.3063758248,365535.327333872,30,-226885.4433484118,34724.830596762185,30,0
0.5,STRICT,baseline,blocked,,-96079.97304249146,365534.0587932137,30,-226884.65607363379,34724.709988650866,30,0
0.7,GRACE_W15_T0.8,baseline,blocked,,-96080.13970915813,365535.3726395164,30,-226885.29289416177,34725.01347584551,30,0
0.7,GRACE_W15_T0.9,baseline,blocked,,-96080.13970915813,365535.3726395164,30,-226885.29289416177,34725.01347584551,30,0
0.7,GRACE_W30_T0.8,baseline,blocked,,-96080.13970915813,365535.3726395164,30,-226885.29289416177,34725.01347584551,30,0
0.7,GRACE_W30_T0.9,baseline,blocked,,-96080.13970915813,365535.3726395164,30,-226885.29289416177,34725.01347584551,30,0
0.7,GRACE_W60_T0.8,baseline,blocked,,-96080.13970915813,365535.3726395164,30,-226885.29289416177,34725.01347584551,30,0
0.7,GRACE_W60_T0.9,baseline,blocked,,-96080.13970915813,365535.3726395164,30,-226885.29289416177,34725.01347584551,30,0
0.7,STRICT,baseline,blocked,,-96079.97304249146,365534.0587932137,30,-226884.65607363379,34724.709988650866,30,0
1.0,GRACE_W15_T0.8,baseline,blocked,,-96065.84069739022,365496.98050218495,30,-226857.25543249096,34725.574037710525,30,0
1.0,GRACE_W15_T0.9,baseline,blocked,,-96065.84076178492,365496.98048467975,30,-226857.2554906215,34725.57396705168,30,0
1.0,GRACE_W30_T0.8,baseline,blocked,,-96065.84064303916,365496.9805169586,30,-226857.2553834266,34725.57409734826,30,0
1.0,GRACE_W30_T0.9,baseline,blocked,,-96065.84076584199,365496.98048357695,30,-226857.25549428395,34725.57396259997,30,0
1.0,GRACE_W60_T0.8,baseline,blocked,,-96065.84082590774,365496.9804672509,30,-226857.2555485075,34725.57389669202,30,0
1.0,GRACE_W60_T0.9,baseline,blocked,,-96065.84099170163,365496.9804221821,30,-226857.2556981737,34725.57371477048,30,0
1.0,STRICT,baseline,blocked,,-96067.31388587801,365496.0513258344,30,-226858.396119492,34723.76834773597,30,0
